domain	url_name
techweb.com.cn	TechWeb
chsi.com.cn	学信网
news.qq.com	腾讯新闻
mail.qq.com	QQ邮箱
news.sohu.com	搜狐新闻
sports.qq.com	腾讯体育
ent.163.com	网易娱乐
zcool.com.cn	站酷
qzone.qq.com	QQ空间
gome.com.cn	国美电器网上商城
lenovo.com.cn	联想中国
jmw.com.cn	中国加盟网
money.163.com	网易财经
airchina.com.cn	中国国际航空公司
caipiao.163.com	网易彩票
neea.edu.cn	中国教育考试网
newmotor.com.cn	牛摩网
scu.edu.cn	四川大学
etest.net.cn	教育部考试中心海外考试报名信息网
efu.com.cn	中国服装网
go108.com.cn	科技紫微星座网
qlwb.com.cn	齐鲁晚报网
cninfo.com.cn	巨潮资讯网
ustc.edu.cn	中国科学技术大学
bydauto.com.cn	比亚迪官网
wanfangdata.com.cn	万方数据知识服务平台
buick.com.cn	别克官方网站
cib.com.cn	兴业银行官方网站
business.sohu.com	搜狐财经
cmbc.com.cn	中国民生银行官网
cgbchina.com.cn	广发银行
spdb.com.cn	上海浦东发展银行
cs.com.cn	中证网
scut.edu.cn	华南理工大学
canon.com.cn	佳能（中国）
sjtu.edu.cn	上海交通大学
nuaa.edu.cn	南京航空航天大学
cnki.com.cn	知网空间
exmail.qq.com	QQ企业邮箱
hxb.com.cn	华夏银行官网
yule.com.cn	中国娱乐网
usst.edu.cn	上海理工大学
jznews.com.cn	荆州新闻网
ecust.edu.cn	华东理工大学
swu.edu.cn	西南大学
upc.edu.cn	中国石油大学(华东)
nwsuaf.edu.cn	西北农林科技大学
bnu.edu.cn	北京师范大学
bit.edu.cn	北京理工大学
xtu.edu.cn	湘潭大学
philips.com.cn	飞利浦中国官方网站
suda.edu.cn	苏州大学
bjd.com.cn	京报网
qdu.edu.cn	青岛大学
uestc.edu.cn	电子科技大学
gdut.edu.cn	广东工业大学
shouji.com.cn	手机乐园
bfsu.edu.cn	北京外国语大学
hsbc.com.cn	汇丰银行官网
ccnu.edu.cn	华中师范大学
hsbc.com.cn	汇丰银行官网
whut.edu.cn	武汉理工大学
ouc.edu.cn	中国海洋大学
siemens.com.cn	西门子中国
snnu.edu.cn	陕西师范大学
fjnu.edu.cn	福建师范大学
shmtu.edu.cn	上海海事大学
njust.edu.cn	南京理工大学
spdbccc.com.cn	浦发银行信用卡中心
kfc.com.cn	肯德基中国官网
njnu.edu.cn	南京师范大学
sicnu.edu.cn	四川师范大学
niaolei.org.cn	鸟类网
lyd.com.cn	洛阳网
ysu.edu.cn	燕山大学
yangtzeu.edu.cn	长江大学
uibe.edu.cn	对外经济贸易大学
sdust.edu.cn	山东科技大学
nenu.edu.cn	东北师范大学
wo.com.cn	沃门户
bupt.edu.cn	北京邮电大学
nmgnews.com.cn	内蒙古新闻网
bjtu.edu.cn	北京交通大学
shu.edu.cn	上海大学
yzu.edu.cn	扬州大学
cityu.edu.hk	香港城市大学
chinacar.com.cn	中国汽车网
qust.edu.cn	青岛科技大学
haust.edu.cn	河南科技大学
hqu.edu.cn	华侨大学
cityu.edu.hk	香港城市大学
qust.edu.cn	青岛科技大学
lyd.com.cn	洛阳网
cueb.edu.cn	首都经济贸易大学
cug.edu.cn	中国地质大学（武汉）
shm.com.cn	水母网
wzu.edu.cn	温州大学
zstu.edu.cn	浙江理工大学
ujn.edu.cn	济南大学
dhu.edu.cn	东华大学
modiauto.com.cn	无敌汽车网
ccnu.edu.cn	华中师范大学
ncepu.edu.cn	华北电力大学
cufe.edu.cn	中央财经大学
hdu.edu.cn	杭州电子科技大学
ecupl.edu.cn	华东政法大学
ctgu.edu.cn	三峡大学
syd.com.cn	沈阳网
zjut.edu.cn	浙江工业大学
cuc.edu.cn	中国传媒大学
beijing-hyundai.com.cn	北京现代官网
yule.sohu.com	搜狐娱乐
hebeea.edu.cn	河北省教育考试院
bnuz.edu.cn	北京师范大学珠海分校
ustb.edu.cn	北京科技大学
hrbeu.edu.cn	哈尔滨工程大学
hhu.edu.cn	河海大学
shnu.edu.cn	上海师范大学
enet.com.cn	硅谷动力
cupl.edu.cn	中国政法大学
gw.com.cn	大智慧官网
auto.qq.com	腾讯汽车
ahnu.edu.cn	安徽师范大学
ynu.edu.cn	云南大学
tech.163.com	网易科技
dongfeng-citroen.com.cn	东风雪铁龙官方网站
cust.edu.cn	长春理工大学
gscn.com.cn	中国甘肃网
ahu.edu.cn	安徽大学
cnu.edu.cn	首都师范大学
njmu.edu.cn	南京医科大学
gdufs.edu.cn	广东外语外贸大学
cn3x.com.cn	三峡宜昌网
imobile.com.cn	手机之家
525j.com.cn	我爱我家网
bjmu.edu.cn	北京大学医学部
sxu.edu.cn	山西大学
auto.ifeng.com	凤凰汽车
hpu.edu.cn	河南理工大学
buaa.edu.cn	北京航空航天大学
zjnu.edu.cn	浙江师范大学
iyoyo.com.cn	悠游网
muc.edu.cn	中央民族大学
txtbook.com.cn	TXT小说下载网站
zzuli.edu.cn	郑州轻工业学院
ujs.edu.cn	江苏大学
buct.edu.cn	北京化工大学
huanbohainews.com.cn	唐山环渤海新闻网
szpt.edu.cn	深圳职业技术学院
jznews.com.cn	荆州新闻网
cdut.edu.cn	成都理工大学
lixin.edu.cn	上海立信会计学院
wacom.com.cn	Wacom官网
zjgsu.edu.cn	浙江工商大学
dlmu.edu.cn	大连海事大学
fafu.edu.cn	福建农林大学
lzjtu.edu.cn	兰州交通大学
learning.sohu.com	搜狐教育
cqmu.edu.cn	重庆医科大学
hebtu.edu.cn	河北师范大学
kmust.edu.cn	昆明理工大学
njupt.edu.cn	南京邮电大学
nuist.edu.cn	南京信息工程大学
nit.net.cn	浙江大学宁波理工学院
ks.js.cn	昆山视窗
ncu.edu.cn	南昌大学
rising.com.cn	瑞星网
cn.china.cn	中国供应商
cugb.edu.cn	中国地质大学（北京）
jmu.edu.cn	集美大学
gxu.edu.cn	广西大学
midea.com.cn	美的官网
yznews.com.cn	扬州网
hnu.edu.cn	湖南大学
whinfo.net.cn	威海信息港
sina.com.tw	新浪台湾
linkshop.com.cn	联商网
dgut.edu.cn	东莞理工学院
zzedu.net.cn	郑州教育信息网
nuc.edu.cn	中北大学
hainu.edu.cn	海南大学
jiangnan.edu.cn	江南大学
sdnu.edu.cn	山东师范大学
stock.hexun.com	和讯股票
li-ning.com.cn	李宁官方网站
jiehun.com.cn	中国婚博会官方网站
auto.163.com	网易汽车
pudong-edu.sh.cn	浦东教育网
gz.bendibao.com	广州本地宝
hzbank.com.cn	杭州银行
hebei.com.cn	长城网
li-ning.com.cn	李宁官方网站
hzbank.com.cn	杭州银行
bjfu.edu.cn	北京林业大学
hzau.edu.cn	华中农业大学
scau.edu.cn	华南农业大学
ahau.edu.cn	安徽农业大学
ufh.com.cn	和睦家医疗
scuec.edu.cn	中南民族大学
cyg.changyou.com	畅易阁道具坊
jxnu.edu.cn	江西师范大学
cdb.com.cn	国家开发银行
nau.edu.cn	南京审计学院
xust.edu.cn	西安科技大学
gzcb.com.cn	广州银行
ntu.edu.cn	南通大学
shzu.edu.cn	石河子大学
self.com.cn	悦己女性网
zust.edu.cn	浙江科技学院
zjxu.edu.cn	嘉兴学院
henu.edu.cn	河南大学
ccom.edu.cn	中央音乐学院
swust.edu.cn	西南科技大学
hbut.edu.cn	湖北工业大学
hrbnu.edu.cn	哈尔滨师范大学
csuft.edu.cn	中南林业科技大学
hebut.edu.cn	河北工业大学
wmu.edu.cn	温州医科大学
imu.edu.cn	内蒙古大学
lcu.edu.cn	聊城大学
health.sohu.com	搜狐健康
shouji.360.cn	360手机卫士官网
ytu.edu.cn	烟台大学
baobao.sohu.com	搜狐母婴频道
xauat.edu.cn	西安建筑科技大学
nwu.edu.cn	西北大学
xmut.edu.cn	厦门理工学院
pxto.com.cn	培训通
xhu.edu.cn	西华大学
tynews.com.cn	太原新闻网
hubu.edu.cn	湖北大学
sicau.edu.cn	四川农业大学
cpu.edu.cn	中国药科大学
hbue.edu.cn	湖北经济学院
zzti.edu.cn	中原工学院
ngzb.com.cn	南国早报网
usc.edu.cn	南华大学
cdu.edu.cn	成都大学
sh.bendibao.com	上海本地宝
open.qq.com	腾讯开放平台
nwnu.edu.cn	西北师范大学
nchu.edu.cn	南昌航空大学
swupl.edu.cn	西南政法大学
ahut.edu.cn	安徽工业大学
jsu.edu.cn	吉首大学
fjut.edu.cn	福建工程学院
njau.edu.cn	南京农业大学
cnss.com.cn	中国海事服务网CNSS
sol.com.cn	航运在线
tjufe.edu.cn	天津财经大学
zufe.edu.cn	浙江财经大学
cngold.com.cn	中金网
wust.edu.cn	武汉科技大学
zhku.edu.cn	仲恺农业工程学院
news365.com.cn	文新传媒
xju.edu.cn	新疆大学
ybu.edu.cn	延边大学
edulife.com.cn	教育人生网
hrxjbank.com.cn	华融湘江银行
swpu.edu.cn	西南石油大学
cul.sohu.com	搜狐文化
njit.edu.cn	南京工程学院
hrxjbank.com.cn	华融湘江银行
sxnu.edu.cn	山西师范大学
sust.edu.cn	陕西科技大学
gdqy.edu.cn	广东轻工职业技术学院
wan.360.cn	360游戏中心
gsau.edu.cn	甘肃农业大学
lady.163.com	网易女人
cdutcm.edu.cn	成都中医药大学
v.61.com	淘米视频
nxu.edu.cn	宁夏大学
gdou.edu.cn	广东海洋大学
hytc.edu.cn	淮阴师范学院
news.baidu.com	百度新闻
lnu.edu.cn	辽宁大学
gduf.edu.cn	广东金融学院
hzu.edu.cn	惠州学院
jhun.edu.cn	江汉大学
nefu.edu.cn	东北林业大学
lzbs.com.cn	兰州新闻网
zjou.edu.cn	浙江海洋学院
tjpu.edu.cn	天津工业大学
hebust.edu.cn	河北科技大学
njxzc.edu.cn	南京晓庄学院
hbee.edu.cn	湖北教育考试网
sbs.edu.cn	上海商学院
cucn.edu.cn	中国传媒大学南广学院
cidu.com.cn	瓷都网
cqnu.edu.cn	重庆师范大学
heuet.edu.cn	河北经贸大学
usts.edu.cn	苏州科技大学
cjlu.edu.cn	中国计量学院
u.360.cn	360手游网_
syphu.edu.cn	沈阳药科大学
tsu.edu.cn	泰山学院
daojia.com.cn	到家美食会
ynau.edu.cn	云南农业大学
gdkszx.com.cn	广东省人事考试局
neau.edu.cn	东北农业大学
sxau.edu.cn	山西农业大学
china.alibaba.com	阿里巴巴
mhedu.sh.cn	闵行教育
aweb.com.cn	农博网
jipiao.kuxun.cn	 酷讯机票
bsu.edu.cn	北京体育大学
zhuhai.gd.cn	珠海视窗 
gxun.edu.cn	广西民族大学
qhu.edu.cn	青海大学
jyu.edu.cn	广东嘉应学院
xaut.edu.cn	西安理工大学
autov.com.cn	汽车生活
lyu.edu.cn	临沂大学
cqwb.com.cn	重庆晚报第一眼
pet.qq.com	QQ宠物企鹅
pumc.edu.cn	中国医学科学院
hbnu.edu.cn	湖北师范学院
tynu.edu.cn	太原师范学院
beihua.edu.cn	北华大学
sell.house365.com	365二手房网
teambuy.com.cn	中团网
dlu.edu.cn	大连大学
aufe.edu.cn	安徽财经大学
fmmu.edu.cn	第四军医大学
jxufe.edu.cn	江西财经大学
house.ifeng.com	凤凰网房产
sdnews.com.cn	鲁网
whoo.com.cn	whoo后官网
uz.taobao.com	淘宝达人
whoo.com.cn	whoo后官网
njue.edu.cn	南京财经大学
etnet.com.cn	经济通中国站
id-china.com.cn	美国室内设计中文网
lzcc.edu.cn	兰州财经大学
lnnu.edu.cn	辽宁师范大学
qtech.edu.cn	青岛理工大学
tga.plu.cn	龙珠直播
edu.ifeng.com	凤凰教育
xhcom.edu.cn	星海音乐学院
ctbu.edu.cn	重庆工商大学
ldxy.edu.cn	陇东学院
hutc.zj.cn	湖州师范学院
sdau.edu.cn	山东农业大学
kmu.edu.cn	昆明学院
hf.house365.com	65淘房合肥房产网
quote.stockstar.com	证券之星行情中心
zdnet.com.cn	至顶网
wfmc.edu.cn	潍坊医学院
hbxh.com.cn	湖北农村信用社
letfind.com.cn	猎房网
hbxh.com.cn	湖北农村信用社
synu.edu.cn	沈阳师范大学
xaufe.edu.cn	西安财经学院
samsung.com.cn	三星电子中国官网
game.163.com	网易游戏官网
rent.house365.com	365租房网
autofan.com.cn	汽车之友
zknu.edu.cn	周口师范学院
znufe.edu.cn	中南财经政法大学
cmda.org.cn	医师之家
feixin.10086.cn	飞信官网
tuxi.com.cn	突袭网 
gzife.edu.cn	贵州财经大学
usx.edu.cn	绍兴文理学院
wfu.edu.cn	潍坊学院
hhtc.edu.cn	怀化学院
jlufe.edu.cn	吉林财经大学
sqnc.edu.cn	商丘师范学院
aqtc.edu.cn	安庆师范学院
tstc.edu.cn	唐山师范学院
hist.edu.cn	河南科技学院
cnbb.com.cn	互联天地
caa123.org.cn	中拍网
jliae.edu.cn	吉林建筑大学
caa123.org.cn	中拍网
nedu.edu.cn	东北电力大学
bzmc.edu.cn	滨州医学院
hnie.edu.cn	湖南工程学院
tjtc.edu.cn	天津职业大学
cnxz.com.cn	中国徐州网
ch.gongchang.com	世界工厂网
dg.bendibao.com	东莞本地宝
cnxz.com.cn	中国徐州网
gm.163.com	网易游戏客服中心
xupt.edu.cn	西安邮电大学
asl.com.cn	曼朗策划
games.sdo.com	盛大游戏
asl.com.cn	曼朗策划
games.sdo.com	盛大游戏
sypi.com.cn	三英精密
sypi.com.cn	三英精密
gmcc.com.cn	环球磁卡
cucu.com.cn	楚楚吊顶
gmcc.com.cn	环球磁卡
cucu.com.cn	楚楚吊顶
heut.edu.cn	华北理工大学
wrpower.com.cn	白兔湖
vorx.com.cn	蛙视通信
vorx.com.cn	蛙视通信
wrpower.com.cn	白兔湖
businessmatrix.com.cn	安正软件
businessmatrix.com.cn	安正软件
