domain	cnt
com.cn	5107
gov.cn	3225
edu.cn	2029
qq.com	445
net.cn	310
58.com	294
tianqi.com	286
ganji.com	254
org.cn	249
baixing.com	222
fang.com	222
163.com	212
ccoo.cn	170
cncn.com	112
8684.cn	109
sohu.com	104
baidu.com	101
bendibao.com	92
tgbus.com	91
duowan.com	75
taobao.com	74
edeng.cn	74
360.cn	71
ifeng.com	69
cntv.cn	65
offcn.com	61
sh.cn	59
focus.cn	57
39.net	57
weizhangwang.com	56
jd.com	50
52pk.com	49
city8.com	48
17173.com	47
178.com	46
anjuke.com	45
com.tw	45
sdo.com	45
gamedog.cn	45
lotour.com	45
xdf.cn	45
meituan.com	44
hexun.com	42
baike.com	42
911cha.com	41
yjbys.com	37
8684.com	37
xinhuanet.com	36
dzwww.com	35
sogou.com	35
southcn.com	35
10086.cn	34
tmall.com	33
xywy.com	33
51240.com	33
gmw.cn	33
18183.com	32
uuu9.com	32
cnfol.com	31
nuomi.com	31
19lou.com	31
ac.cn	30
huatu.com	30
1010jz.com	29
youth.cn	29
xunlei.com	28
4399.com	28
766.com	28
yzz.cn	28
yesky.com	28
lbx.cc	27
jiwu.com	27
china.com	27
bitauto.com	27
dbw.cn	27
wanmei.com	26
fccs.com	26
edushi.com	26
house365.com	26
chinanews.com	26
js.cn	25
alipay.com	25
eastmoney.com	25
zhongkao.com	25
hao123.com	25
ce.cn	25
it168.com	24
qunar.com	24
huangye88.com	24
2345.com	24
iqilu.com	23
ctrip.com	23
huanqiu.com	23
eol.cn	23
changyou.com	23
newssc.org	22
pingan.com	22
com.hk	22
weibo.com	21
youku.com	21
rednet.cn	21
55tuan.com	21
37.com	21
suning.com	20
hebnews.cn	20
tudou.com	20
renren.com	20
jxedt.com	20
61.com	20
3158.cn	20
qingdaonews.com	20
cngba.com	20
cngold.org	20
hujiang.com	20
zj.cn	19
91.com	19
supfree.net	19
icaile.com	18
liebiao.com	18
aipai.com	18
21cn.com	18
lashou.com	18
1688.com	18
973.com	18
eastday.com	18
shangdu.com	18
cnr.cn	18
abang.com	18
letv.com	18
99166.com	17
dangdang.com	17
ccb.com	17
hsw.cn	16
cnhubei.com	16
netease.com	16
tiancity.com	16
yy.com	16
iqiyi.com	16
aoshu.com	16
xoyo.com	16
stockstar.com	16
lady8844.com	15
sgamer.com	15
tieyou.com	15
tuniu.com	15
cmbchina.com	15
xiaomishu.com	15
jx.cn	15
koolearn.com	15
hinews.cn	15
gongjiao.com	14
qidian.com	14
ztgame.com	14
hupu.com	14
cqnews.net	14
71lady.com	14
loupan.com	14
zhaopin.com	14
pptv.com	14
51job.com	13
fjsen.com	13
qianlong.com	13
tianya.cn	13
jsyks.com	13
titan24.com	13
zhulong.com	13
soufun.com	13
takungpao.com	13
chinaz.com	13
artxun.com	13
ci123.com	13
7k7k.com	13
onlylady.com	12
fengniao.com	12
100bt.com	12
kuwo.cn	12
5068.com	12
lofter.com	12
mop.com	12
ali213.net	12
ofweek.com	12
hiapk.com	12
265g.com	12
5173.com	12
51cto.com	12
workercn.cn	12
alibaba.com	12
xooob.com	12
liepin.com	12
kankan.com	12
woniu.com	12
51credit.com	11
okooo.com	11
szhk.com	11
jinti.com	11
replays.net	11
mala.cn	11
xd.com	11
vivijk.com	11
zxxk.com	11
winshang.com	11
591hx.com	11
2144.cn	11
youzu.com	11
k618.cn	11
16888.com	11
ea3w.com	11
liuxue86.com	11
500.com	11
ynet.com	11
gd.cn	11
xinmin.cn	11
haibao.com	11
mycar168.com	10
sznews.com	10
haodf.com	10
news.cn	10
17dm.com	10
66wz.com	10
abab.com	10
huawei.com	10
chinabyte.com	10
qm120.com	10
szonline.net	10
yahoo.com	10
kugou.com	10
plu.cn	10
haiwainet.cn	10
zynews.com	10
9you.com	10
e21.cn	10
elong.com	10
gamersky.com	10
3edu.net	10
gyyx.cn	10
poco.cn	10
cnmo.com	10
tingroom.com	10
9game.cn	10
chazidian.com	9
sdchina.com	9
jb51.net	9
southmoney.com	9
chinaiiss.com	9
xpcha.com	9
souyi.cc	9
nvsheng.com	9
icxo.com	9
mapbar.com	9
cjn.cn	9
meitu.com	9
oeeee.com	9
15w.com	9
