domain_url	tag2
baike.0-6.com	母婴
0-6.com	母婴
bbs.0-6.com	母婴
zhishi.0-6.com	母婴
www.000607.cn	广告
0019.com	相亲
001d.com	电影
www.001daima.com	开发
001jm.com	广告
cy.001jm.com	广告
xc.001jm.com	广告
001sj.net	松江,招聘
001town.com	一城
www.002002.cn	鸿达兴业
00222.net	导航
002cn.cn	硬件
00394.net	豫剧
op.005.tv	海贼王
fate.005.tv	Fate
moe.005.tv	动漫,萌娘
005.tv	羁绊
00568.com	电影
0058.com	视频
0060.cn	大马
007swz.com	广告
007yx.com	游戏
008321.com	导航
00883311.cn	宜宾
008txt.com	小说
fanyi.00cf.com	翻译
zanghonghua.00cha.com	健康,藏红花
chenyu.00cha.com	教育
gsgl.00cha.com	高速,汽车
zidian.00cha.com	教育
00hh.com	娱乐
00ks.com	小说
00sy.com	小说
00xs.com	小说
www.00xu.com	健康
01-02-03.com	动漫
bbs.010.cc	北京
0101shop.com	佳能
010auto.net	北京,汽车
010bus.net	北京,旅游
010gaokao.com	北京,高考
010huashi.com	北京,培训
010lm.com	北京
010lyzg.com	电商
010shangpu.com	北京,房产
010time.com	北京时间
010zentanshe.com	北京
012233.com	视频
0123.cn	母婴
01246.com	佛山
0176.cc	小说
01bz.com	小说
01chengde.cn	承德
01fy.cn	房产
bj.01fy.cn	北京,房产
01fys.com	视频
01hr.com	招聘
job.01hr.com	招聘
01job.cn	招聘
01kk.net	视频
xixia.01ny.cn	西峡
01ny.cn	南阳
epaper.01ny.cn	南阳,新闻
dengzhou.01ny.cn	邓州
tongbai.01ny.cn	桐柏
01p2p.net	财经,P2P
www.01teacher.com	教育
01tingshu.com	小说
in.01w.com	其他
01w.com	其他
01zhuanche.com	首汽
01zph.com	招聘
020.com	广州
02017.com	广州,体育
02096998.com	广东
020dianxin.com	广州
020h.com	汽车
020job.com	广州,招聘
020ztc.com	时刻表
021.net	其他
0214.com	电商
02156.cn	快递
021766.net	东莞
021kd.com	上海
021sports.com	健康,减肥
021xueli.com	上海,教育
022china.com	滨海
022dt.com	天津
022net.com	天津
022s.com	天津
022show.com	天津
022v.com	天津
0233.com	导航
02345.com	小说
023dir.com	重庆
023fyw.com	重庆
023yts.com	重庆,旅游
023zp.com	重庆,招聘
0245.org	娱乐,美女
02456789.com	其他
02488.cn	沈阳,电商
024dbs.com	调兵山
024fish.cn	鱼
024zf.com	沈阳,房产
025.cm	南京
025.com	社交
www.025002.com	南京
025ct.com	江苏,新闻
025zp.com	南京
026hao.com	电商
027art.com	武汉,教育,美术
027guke.com	医院,健康
027xijiu.com	其他
028.cm	成都
028668.com	成都,旅游
028aide.com	其他
028f.com	成都,房产
028nb.com	娱乐
029-china.cn	陕西,旅游
029-xinxi.com	其他
029200.com	霍林河
029558.com	西安,旅游
029g.com	社交
029gl.com	西安,旅游
02edu.com	教育
02yc.com	大鱼
030buy.cc	电商
030buy.com	电商
0311jx.cn	石家庄,驾校
www.0314366.com	电商
0316.cc	
0316366.com	
0317hy.com	
bbs.0317hy.com	
0318ol.com	
034567.com	
0355wxr.com	
0356.com	
0356f.com	
0359tv.com	
0371job.com	
0371sou.com	
0371zm.com	
fc.0372.cn	
bbs.0372.cn	
0372.cn	
0372job.com	
0377auto.com	
cheguan.0377auto.com	
0379home.com	
house.0379home.com	
0391fc.com	
03964.com	
03tt.cn	
03wa.com	
0411baby.com	
0411cxd.com	
bbs.0411cxd.com	
0411dlly.com	
0411hd.com	
gpd.0411hd.com	
0415123.com	
0415t.com	
0416job.com	
041799.com	
0427.com	
0430.com	
cht.0430.com	
043218.cn	
bbs.0434.cc	
0434.cc	
0434w.com	
0436118.com	
0437.com	
huan.0437.com	
job.0437.com	
0439.com	
0452e.com	
0453.com	
0455tv.com	
0458.cn	
0460.com	
0464.cm	
0464.im	
0470a.com	
class.0470a.com	
job.0470a.com	
0471fcw.com	
0476com.com	
0476vip.com	
0479.cc	
050400.com	
050d.com	
051.com	
0512wm.com	
0512zp.cn	
0513.net	
bbs.0513.net	
bbs.0513.org	
fang.0513.org	
0513.org	
0514.com	
0514.net	
05148.cc	
0515yc.com	
051661.com	
bbs.0516k.com	
0516k.com	
0517offer.com	
bbs.0517w.com	
0517w.com	
05188.com	
0518rcw.com	
0519car.net	
bbs.051jk.com	
051jk.com	
0523114.com	
052360.com	
0523bbs.net	
0523zp.com	
www.05273.com	
0527m.com	
0527rc.cn	
0527zp.com	
0531.com	
bbs.0534.com	
0534888.com	
dalianbus.0535-0411.com	
daliangang.0535-0411.com	
yantai.0535-0411.com	
tianjin.0535-0411.com	
0535-0411.com	
05356666111.cn	
0535cp.com	
0535you.com	
0535zy.cn	
0536job.net	
0536qz.com	
0537jx.com	
news.0538fc.com	
0538fc.com	
054001.cn	
0543bbs.com	
0543hr.com	
0543tuangou.com	
054400.com	
0550.com	
job.0550.com	
fang.0550.com	
bbs.0550.com	
055110.com	
055114.com	
0551fangchan.com	
0551ss.cn	
0554.us	
0554cc.cn	
bbs.0554cc.cn	
0554news.com	
0554zp.com	
0555fc.com	
0556wjw.com	
0557.cn	
0557100.com	
0558.com	
0558job.com	
0558ok.com	
0559cn.com	
0560.net	
0561hb.cn	
0561life.com	
0563job.com	
0564job.com	
0564shw.com	
0565fc.com	
0566cc.cc	
bbs.0566cc.cc	
0566fc.com	
0566job.com	
0567.com	
0570fc.com	
bbs2.0570fc.com	
0571.cm	
057191.com	
0571car.com	
0571nh.com	
0571pu.com	
0572h.com	
0572home.com	
0572zpw.com	
rc.0573ren.com	
0573ren.com	
0574bbs.com	
0574yye.com	
0575bbs.com	
0575zhuji.com	
house.0575zhuji.com	
0576f.cn	
0576qq.com	
bbs.0576qq.com	
0577.cm	
0577666.com	
0577cnw.com	
0577home.net	
0577hr.com	
cn.0577job.com	
0577job.com	
py.0577job.com	
0578lsrc.cn	
0579.cn	
bbs.0579.cn	
fang.0579.cn	
0579818.com	
0579com.com	
0579fw.com	
0590edu.com	
0591job.com	
05927.com	
0592ui.com	
05935.com	
bbs.0594.com	
0594.com	
bbs.0594123.com	
0594123.com	
0594666.com	
0595bbs.cn	
0595ms.com	
0595qz.com	
0595zf.com	
0596lh.com	
0596w.com	
0597kk.com	
0598777.com	
0598fdc.com	
0598rc.com	
0598so.com	
0598yu.com	
0599.com	
05sun.com	
qipai.05wan.com	
05wan.com	
sxd.05wan.com	
05wang.com	
05youxi.com	
new.060s.com	
060s.com	
www.0618.com	
0631rc.com	
house.0634.com	
bbs.0634.com	
0634.com	
0634.me	
0660go.com	
bbs.0663.net	
0663.net	
0663job.com	
0668.com	
bbs.0668.com	
06681.com	
0668cc.com	
0668gz.com	
066dy.com	
06abc.com	
06ps.com	
06xs.com	
rpg.07073.com	
kc.07073.com	
07073.com	
news.07073.com	
xin.07073.com	
flash.07073.com	
pc.07073.com	
kf.07073.com	
chanye.07073.com	
0708.com	
blr.0708.com	
0710111.com	
0712fang.com	
0713hb.com	
0715fc.com	
0719house.com	
0722fc.com	
0724c.com	
072550.cn	
0728f.com	
073.cc	
0730edu.com	
0730hao.cn	
0730jh.com	
0730news.com	
0731.cm	
0731fdc.com	
news.0731fdc.com	
floor.0731fdc.com	
gov.0731fdc.com	
bbs.0731go.cn	
0731go.cn	
0731gou.com	
0731job.com	
0731m.cn	
0731mcw.com	
0731tg.com	
news.0734.com	
0734.com	
0734999.com	
0735.com	
xb.0735.com	
07358.com	
0736fdc.com	
0738.cc	
0738ld.com	
0739bbs.com	
bbs.07430743.com	
07430743.com	
0744114.com	
0745news.cn	
0746hn.com	
0746job.com	
0746news.com	
xh.0750rc.com	
0750rc.com	
0750tuan.com	
0751.cc	
0755.net	
0755.so	
0755bzf.com	
0755car.com	
news.0755car.com	
0755cts.com	
0755fm.com	
0755hao.com	
0755hz.cn	
0755jz.net	
0755lswjs.com	
0755rc.com	
0755zb.com	
zemujob.0755zb.com	
www.0756zx.com	
0757fc.com	
sd.0757house.com	
fs.0757house.com	
0757house.com	
0757p.com	
sp.0757rc.com	
0757rc.com	
0758net.com	
bbs.0758net.com	
0759home.com	
0759job.com	
0759web.net	
rc.0760.com	
0760.com	
0760js.com	
0760rc.com	
07626.cn	
076299.com	
bbs.076299.com	
0768.gd	
0768000.com	
0769auto.com	
wf.0769auto.com	
0769bdqn.com	
0769pf.com	
0770edu.com	
0771.com	
0772fang.com	
0772job.com	
077499.com	
bbs.0776.cn	
0776.cn	
07761.com	
0776zx.com	
077fy.com	
07808.net	
0790tg.com	
img.0790tg.com	
0791abc.com	
0791abc.net	
0791fuwu.com	
0791quanquan.com	
0792ju.com	
07938.com	
bbs.0794.org	
0794.org	
0794zp.com	
0797122.com	
0797pta.com	
0797rs.com	
0797tuan.com	
0798.cc	
07cn.net	
08.cn	
0813fs.com	
08160.cn	
0817.net	
0817ch.com	
0818tuangou.com	
0818work.com	
0827ug.com	
0830bbs.com	
0833hy.com	
0839zp.com	
0851gx.com	
0852job.com	
086798.com	
0871.cm	
0873js.com	
0875114.com	
0877zp.com	
fyc.08952.com	
08952.com	
news.0898.net	
0898hq.com	
08cms.com	
08fang.com	
08kan.com	
08px.com	
08wojia.com	
090rc.com	
0912158.com	
0912job.com	
0913114.cn	
0913ss.com	
0916001.com	
0937.cc	
0937.com	
0937.net	
0938.cn	
0939.net	
0951job.com	
09635.com	
www.098.cn	
www.098.com	
0990.com	
0991dj.com	
0992.cc	
099y.com	
0dian8.org	
www.0dm.com	
0dsw.com	
0duw.com	
www.0ggw.com	
www.0gouche.com	
0xiao.com	
0zx.cn	
1-03.com	
ielts.100.com	
100.com	
10000.com	
10000job.com	
10000link.com	
10000xing.cn	
10000yao.com	
1000city.cn	
1000eb.com	
1000islandlake.com	
1000plan.org	
1000tuan.com	
8mu.1000uc.com	
zsmu.1000uc.com	
1000zhu.com	
epay.10010.com	
iservice.10010.com	
4g.10010.com	
try.10010.com	
jf.10010.com	
upay.10010.com	
www.10010.com	
10010sh.cn	
shop.10010sh.cn	
1001p.com	
10026.cn	
www.10044.cn	
100788.com	
phone.10086.cn	
mm.10086.cn	
caiyun.feixin.10086.cn	
g.10086.cn	
feixin.10086.cn	
mclub.10086.cn	
webim.feixin.10086.cn	
yn.10086.cn	
www.10086.cn	
gd.10086.cn	
pushemail.10086.cn	
12582.10086.cn	
hl.10086.cn	
jf.10086.cn	
pim.10086.cn	
wlan.10086.cn	
download.feixin.10086.cn	
dev.10086.cn	
data.10086.cn	
js.10086.cn	
gx.10086.cn	
cq.10086.cn	
edu.10086.cn	
b2b.10086.cn	
ah.10086.cn	
jl.10086.cn	
bj.10086.cn	
cmpay.10086.cn	
mail.10086.cn	
shop.10086.cn	
job.10086.cn	
service.ah.10086.cn	
100allin.com	
100beijing.com	
aobi.100bt.com	
qq.100bt.com	
aola.100bt.com	
pay.100bt.com	
lds.100bt.com	
ac.100bt.com	
zl.100bt.com	
100bt.com	
kd.100bt.com	
aoqi.100bt.com	
aoya.100bt.com	
qz.100bt.com	
100cai.cn	
100che.cn	
100che.org	
100e.com	
100ec.cn	
100estore.com	
100exam.com	
100fenlm.cn	
100golf.cn	
100hg.com	
100how.com	
100inn.cc	
100jg.com	
100job.cn	
100kk.com	
100ksw.com	
100kuai.top	
100md.com	
100mz.com	
100offer.com	
100pd.com	
100ppi.com	
www.100qunfa.com	
www.100shuai.com	
100suit.com	
100tal.com	
100tiao1.net	
100tv.com	
100u.com	
100wsanguo.com	
100xhs.com	
100xiao.com	
gpa.100xiao.com	
100xuexi.com	
hanyu.100xuexi.com	
daoyou.100xuexi.com	
yingyu.100xuexi.com	
it.100xuexi.com	
mishu.100xuexi.com	
math.100xuexi.com	
100xz.cn	
100yangsheng.com	
100ybk.com	
100ye.com	
100yiyao.com	
100yue.com	
100zhuang.com	
101-102-103.com	
10100000.com	
10101111.com	
1010jiajiao.com	
cd.1010jz.com	
qd.1010jz.com	
wh.1010jz.com	
bj.1010jz.com	
zz.1010jz.com	
nb.1010jz.com	
cq.1010jz.com	
xa.1010jz.com	
1010jz.com	
dg.1010jz.com	
wz.1010jz.com	
hf.1010jz.com	
fs.1010jz.com	
gl.1010jz.com	
sh.1010jz.com	
xm.1010jz.com	
wx.1010jz.com	
gz.1010jz.com	
jn.1010jz.com	
hz.1010jz.com	
tj.1010jz.com	
su.1010jz.com	
hrb.1010jz.com	
tz.1010jz.com	
sx.1010jz.com	
sz.1010jz.com	
cs.1010jz.com	
fz.1010jz.com	
jx.1010jz.com	
1012china.com	
10155.com	
101hair.com	
101jiajiao.com	
101ys.com	
1024sj.com	
102tv.cn	
1039.cn	
10678.net	
1073.com	
107cine.com	
107room.com	
1080pdy.com	
108sq.com	
10danteng.com	
10fang.com	
10futu.com	
10fzdy.com	
10huan.com	
10juhua.com	
10moons.com	
10qq.com	
10s1.com	
jiage.10s1.com	
10why.net	
bbs.10yan.com	
ent.10yan.com	
sywb.10yan.com	
10yan.com	
10zk.com	
11-22.cn	
hetong.110.com	
msg.110.com	
110.com	
lawyer.110.com	
110122.cn	
110bbs.com	
11111.hk	
1114.com	
11159.com	
11183post.com	
cx.11185.cn	
bk.11185.cn	
jiyou.11185.cn	
11185.cn	
111cn.net	
111golf.com	
1122.com	
11315.com	
weifang.11353.net	
dalian.11353.net	
xuzhou.11353.net	
yantai.11353.net	
hegang.11353.net	
shenyang.11353.net	
113ys.com	
114-0510.com	
114-91.com	
b2b.11467.com	
product.11467.com	
11467.com	
114best.com	
114chn.com	
search.114chn.com	
dg.114chn.com	
r.114chn.com	
s.114chn.com	
114dns.com	
114gh.cn	
114good.com	
114guoshu.com	
checi.114huoche.com	
chuan.114huoche.com	
114huoche.com	
qiche.114huoche.com	
ditie.114huoche.com	
tianqi.114huoche.com	
pdf.114ic.com	
114ic.com	
114jc.com	
114jianshen.com	
v.114la.com	
tuan.114la.com	
meishi.114la.com	
book.114la.com	
114la.com	
tool.114la.com	
manhua.114la.com	
tianqi.114la.com	
114lm.com	
114ls.com	
114mall.cn	
114my.cn	
114nba.com	
114piaowu.com	
gaotie.114piaowu.com	
piaojia.114piaowu.com	
checi.114piaowu.com	
daishoudian.114piaowu.com	
yupiao.114piaowu.com	
huochezhan.114piaowu.com	
jingdian.114piaowu.com	
shike.114piaowu.com	
114px.com	
114school.cn	
114so.cn	
xly.114study.com	
114study.com	
114ttg.com	
114wto.com	
sz.114zhaofang.com	
114zw.com	
115.com	
pc.115.com	
11502.com	
1155.com	
v.11584.com	
115jk.com	
115zb.com	
116.com	
1166.com	
11665.com	
1168.tv	
11773.com	
topic.11773.com	
game.11773.com	
117go.com	
tao.117go.com	
1181.com	
zj.118100.cn	
118100.cn	
118114.cn	
0871.118114.cn	
1182.org	
1183114.com	
1188.com	
118bt.com	
118kj.com	
d.119g.com	
119g.com	
bbs.119g.com	
119tx.com	
119you.com	
11area.net	
11bao.com	
11dream.net	
11player.com	
11x5w.com	
chart.11x5w.com	
11yinyuan.com	
11ziyun.com	
120.net	
app.120.net	
120918.com	
yiyuan.120ask.com	
yp.120ask.com	
qywy.120ask.com	
tag.120ask.com	
120ask.com	
120fd.com	
120job.cn	
120kaoshi.com	
120sh.com	
120v.cn	
120yg.cn	
210.42.121.241	
121121.net	
12114job.com	
12123.com	
121314.com	
122.cn	
122166.com	
qupu.122311.com	
www.12306.cn	
dynamic.12306.cn	
12306soft.cn	
12308.com	
shike.12308.com	
chezhan.12308.com	
12321.cn	
12333.com	
sb.12333.com	
12333sb.com	
12333t.cn	
1234.me	
123456dj.com	
123456wz.com	
12345b.com	
12345good.com	
12349.net	
1234kan.com	
1234l.com	
1234wu.net	
12365auto.com	
www.12366.com	
qzlx.12371.cn	
news.12371.cn	
fuwu.12371.cn	
syss.12371.cn	
xuexi.12371.cn	
12371.cn	
1238.com	
12394.com	
time.123cha.com	
123cha.com	
tq.123cha.com	
123du.net	
123fans.cn	
123fh.com	
123gushi.com	
123haitao.com	
123huaiyun.com	
123huodong.com	
123hw.com	
123juzi.com	
123kugou.com	
123ls.com	
123meiyan.com	
www.123novel.com	
123qibu.com	
123xhl.com	
123ypw.com	
123yq.com	
123zcyy.com	
125.la	
bj.12530.com	
fj.12530.com	
gx.12530.com	
zj.12530.com	
sn.12530.com	
ah.12530.com	
12530.com	
mall.12580.com	
12580.com	
12580.tv	
12580777.com	
125cn.net	
125edu.com	
125job.com	
125uu.com	
126.com	
mail.126.com	
vip.126.com	
126001.com	
126job.net	
126soso.com	
126xz.com	
126zhibo.com	
127q.com	
1288.tv	
128uu.com	
shijuan.12999.com	
word.12999.com	
en.12999.com	
12999.com	
129t.com	
12chai.com	
12dian.com	
12edu.com	
12gang.com	
12ha.com	
12jingluo.cn	
12u.cc	
12u.cn	
12yao.com	
130635.cn	
131.com	
qilz.131.com	
comic.131.com	
lol.131.com	
newgame.131.com	
13131313131.com	
1314.com	
so.131458.com	
view.131458.com	
131458.com	
jq.131458.com	
1314gz.com	
1314study.com	
1314tv.com	
bbs.131qz.com	
131qz.com	
131uu.com	
1322.com	
133.cn	
133jz.com	
13400.com	
1350135.com	
135100.cn	
135139.net	
135cha.com	
www.135editor.com	
136136.com	
136book.com	
137365.com	
1377.com	
138.net	
138job.com	
guangzhou.138job.com	
138jr.com	
138pet.com	
138zg.com	
zuowen.jiaoyu.139.com	
mail.139.com	
jiaoyu.139.com	
1390.so	
1390371.net	
139699.com	
13980.com	
139cai.com	
139ee.com	
139life.com	
read.139life.com	
139s.com	
139shop.com	
mobile.139shop.com	
139site.com	
13ejob.com	
13xiaoshuo.com	
3.1415926.mobi	
147.cn	
148com.com	
14lz.com	
14play.net	
150100.com	
150300.cn	
151.hk	
hy.151.hk	
zhougongjiemeng.1518.com	
1518.com	
chepai.1518.com	
renpin.1518.com	
gongsi.1518.com	
shouji.1518.com	
1518189.com	
151rs.com	
15201.com	
1528.net	
1545ts.com	
155.cn	
android.155.cn	
155.com	
155175.com	
1556.net	
156580.com	
ph.156580.com	
15666.com	
my.15666.com	
156ys.com	
157300.net	
157399.com	
157seo.com	
15880.com	
lalachat.15880.com	
158card.com	
158jixie.com	
159.com	
159cai.com	
159game.com	
159shouji.com	
15bl.com	
15fj.com	
15hr.com	
wl.15hr.com	
15job.com	
15lu.com	
15sing.com	
15sn.com	
youjia.15tianqi.cn	
15tianqi.cn	
qiche.15tianqi.cn	
15tianqi.com	
dota2.15w.com	
lol.15w.com	
smite.15w.com	
x.15w.com	
hots.15w.com	
newgame.15w.com	
esports.15w.com	
15w.com	
cf.15w.com	
15wk.com	
drivers.160.com	
news.160.com	
160.com	
bizhi.160.com	
rili.160.com	
wifi.160.com	
160job.com	
161580.com	
chaxun.1616.net	
v.1616.net	
1616.net	
16163.com	
16177.net	
1617k.com	
161dyw.com	
1626.com	
1626buy.com	
163.cn	
cai.163.com	彩票
music.163.com	音乐
v.2012.163.com	伦敦奥运会
baby.163.com	母婴
xyq.gm.163.com	梦幻西游2
x3.163.com	新大话西游3
cba.sports.163.com	CBA
story.163.com	新大话西游2
rz.163.com	忍者必须死2
tx3.zhidao.163.com	天下3
xy2.163.com	新大话西游2
yuedu.163.com	网易云
ayomi1031.blog.163.com	ayomi
xf.house.163.com	房产
ff.163.com	新飞飞
media.163.com	广告
trend.caipiao.163.com	彩票
hr.163.com	招聘
bbs.local.163.com	论坛
pk.163.com	大话外传新篇
popo.163.com	POPO
sq.163.com	有杀气童话
fm.163.com	闪电邮
vip.163.com	163邮箱
union.163.com	广告
tx3.163.com	天下3
qn2.163.com	倩女幽魂2
hea.163.com	数码
app.ecard.163.com	充值
club2011.auto.163.com	汽车
wh2.163.com	武魂2
ty.163.com	天谕
2014.163.com	巴西世界杯
pay.163.com	充值
d.163.com	暗黑破坏神3
bbs.culture.163.com	文化
y3.163.com	英雄三国
bbs.163.com	论坛
ldxy.163.com	乱斗西游2
gm.163.com	游戏
lushi.163.com	炉石传说
mkey.163.com	将军令
ecard.163.com	充值
email.163.com	邮箱
xy3.163.com	新大话西游3
edu.163.com	教育
fax.163.com	传真
jd.163.com	绝地战警
lj.163.com	龙剑
product.mobile.163.com	数码
club.tech.163.com	数码
2010.163.com	广州亚运会
focus.news.163.com	热点
e.163.com	网之易
qingdao.news.163.com	青岛
mtj.163.com	魔天记OL
tnj.163.com	猫和老鼠
sh.house.163.com	房产,上海
163.com	网易
dtws.cbg.163.com	大唐无双零,藏宝阁    
help.163.com	网易
ka.game.163.com	礼包
t.163.com	微博
home.163.com	家居
tx3.cbg.163.com	天下3
dh2.cbg.163.com	大话西游2,藏宝阁
wj.163.com	突击英雄
hi.163.com	游戏
open.163.com	公开课
yuehui.163.com	社交
mobile.163.com	数码
sports.163.com	体育
cc.163.com	网易CC,直播
uu.163.com	网易UU,加速器
money.163.com	财经
tianyu.163.com	天谕
biz.163.com	广告
gs.163.com	广告
ad.163.com	新闻
bang.tx3.163.com	天下3
epay.163.com	网易宝
my.163.com	梦幻西游
yxp.163.com	图片
popogame.163.com	泡泡
bbs.bj.house.163.com	房产
bbs.d.163.com	暗黑破坏神3
manhua.163.com	漫画
y.163.com	社交
bbs.game.163.com	游戏
m.163.com	应用
mall.163.com	电商
jiankang.163.com	健康
kids.163.com	中小学
club.auto.163.com	汽车
xqn.163.com	新倩女幽魂
qiye.163.com	企业邮箱
bbs.tech.163.com	新闻
war.163.com	军事
blog.163.com	博客
qn2.cbg.163.com	倩女幽魂2
yys.163.com	阴阳师
bjx.163.com	百将行
bj.house.163.com	房产,北京
run.sports.163.com	体育
xyq.zhidao.163.com	梦幻西游2
wp.163.com	网盘
zgmh.163.com	公主莫慌
digibbs.tech.163.com	数码
shouji.163.com	邮箱
bbs.news.163.com	新闻
cosmetic.lady.163.com	化妆品
gift.163.com	礼包
j.news.163.com	新闻
ym.163.com	企业邮箱
w.163.com	魔兽世界
cbachina.163.com	CBA
zmq.163.com	镇魔曲
freemail.163.com	邮箱
ephoto.163.com	图片
hrb.house.163.com	房产,哈尔滨
vip.cc.163.com	网易CC,直播
daxue.163.com	校园
house.163.com	房产
tech.163.com	科技
xy2.baike.163.com	新大话西游2
quan.163.com	电商
nj.news.163.com	南京
news.163.com	新闻
bbs.lady.163.com	女性
tx3.gm.163.com	天下3
xyq.163.com	梦幻西游2
c.open.163.com	公开课
zh.163.com	斩魂
quotes.money.163.com	财经
henan.163.com	河南
play.163.com	游戏
view.163.com	新闻
fashion.163.com	时尚
bbs.ent.163.com	娱乐
product.auto.163.com	汽车
v.163.com	视频
tuji.163.com	突击英雄
a.163.com	风暴英雄
game.campus.163.com	招聘
ent.163.com	娱乐
love.163.com	花田
dh2.163.com	大话西游2
hebei.news.163.com	河北
q.163.com	博客
nba.sports.163.com	NBA
sz.house.163.com	深圳,房产
bmall.163.com	暴雪
